"post_id","parent_id","comment_id","text","category"
"252114","","","i would like to learn the parameters for a truncated gaussian like this oneim using this formula for the probability densityf x mu sigma2 expleft frac xmu 2 2sigma2 right times frac 1 f mu sigma times mathbb 1 _ x0 where f mu sigma is a function so that the integral of f over x equals 1i tried to derive the maximum likelihood like we usually do for gaussian mixtures but then i got stuck i cant find an easy formula for mu and sigma how to find them","post"
"300306","","","mathematical definition of bayes optimality","title"
"151852","","289749.0","it cant hurt to show a few different specifications strictly speaking if there are no autocorrelation effects then you dont need newey west errors assuming no other effects either however someone might ask if you correct for it anyway","comment"
"28306","","52970.0","this is really quite a clever solution +1 i went looking for my metaanalysis book this morning but i couldnt find it","comment"
"229256","","","i have multiple dependant marketing variables measured on dichotomous scales and one independant variable with three levels students university personnel both i would like to define the type of study design in order to chose the correct statistical test for group differences i want to see if the different marketing activities are different according to the main type of market students university personnel both 1 between subject designs 2 within subject designs3 mixed designswhat actually worries me is the category both if not i would hae already classified it as between subject designcan you help me with some ideas and suggestions thank you in advance","post"
"269979","","516189.0","with regards to weighting i am interested not only how the current employment affects y but also how considerations of the past influence y this is why i wanted to weight","comment"
"260411","","498893.0","also see this relevant answer http statsstackexchangecom questions 243746 whatisprobabilisticinference 243759#243759 which points out that just using straight up optimization to solve a machine learning problem is _not_ a probabilistic approach _sensu stricto_","comment"
"340704","","643518.0","but you dont know the errors if you knew the errors you would incorporate them into the estimate and would have error free estimates you never get a measurement of 6000 pm 500 or anything like that you estimate the errors from the set of measurements","comment"
"148395","","284281.0","youre welcome med 8 is a strong association would be significant even w fairly small n","comment"
"149537","","286353.0","nickcox great point in fact maybe plain min max mean in a table might be enough but again thats why having a clear goal of the visualization is the most important part of making a good visualization","comment"
"149711","","","sequential mutually exclusive signingbonus offers a variant on the secretary problem","title"
